check_date,engine,query,position,is_brand
2026-07-12,google,купить абажур для настольной лампы,10.0,False
2026-07-12,yandex,купить абажур для настольной лампы,5.0,False
2026-07-12,google,купить абажур на лампу,4.0,False
2026-07-12,google,купить абажур на люстру,1.0,False
2026-07-12,yandex,купить абажур на люстру,4.0,False
2026-07-12,yandex,купить бра,7.0,False
2026-07-12,yandex,купить бра на стену,9.0,False
2026-07-12,google,купить в москве люстру,9.0,False
2026-07-12,yandex,купить в москве люстру,3.0,False
2026-07-12,google,купить выключатель света,10.0,False
2026-07-12,yandex,купить выключатель света,17.0,False
2026-07-12,google,купить диодную лампу,23.0,False
2026-07-12,google,купить запчасти для люстры,2.0,False
2026-07-12,yandex,купить запчасти для люстры,9.0,False
2026-07-12,yandex,купить качественную люстру,2.0,False
2026-07-12,google,купить керамическую настольную лампу,6.0,False
2026-07-12,yandex,купить керамическую настольную лампу,6.0,False
2026-07-12,google,купить классическую люстру в гостиную,31.0,False
2026-07-12,yandex,купить классическую люстру в гостиную,7.0,False
2026-07-12,google,купить классическую настольную лампу,6.0,False
2026-07-12,yandex,купить классическую настольную лампу,2.0,False
2026-07-12,google,купить кнопку дверного звонка,6.0,False
2026-07-12,google,купить красивую люстру,8.0,False
2026-07-12,yandex,купить красивую люстру,9.0,False
2026-07-12,google,купить люстра,4.0,False
2026-07-12,yandex,купить люстра,6.0,False
2026-07-12,google,купить люстру,2.0,False
2026-07-12,yandex,купить люстру,1.0,False
2026-07-12,google,купить люстру в гостиную,15.0,False
2026-07-12,google,купить люстру в зал,21.0,False
2026-07-12,google,купить люстру в интернет магазине,7.0,False
2026-07-12,yandex,купить люстру в интернет магазине,2.0,False
2026-07-12,google,купить люстру в интернет магазине недорого,6.0,False
2026-07-12,yandex,купить люстру в интернет магазине недорого,2.0,False
2026-07-12,google,купить люстру в комнату,5.0,False
2026-07-12,yandex,купить люстру в комнату,7.0,False
2026-07-12,google,купить люстру в москве,7.0,False
2026-07-12,google,купить люстру в москве в магазине,3.0,False
2026-07-12,yandex,купить люстру в москве в магазине,4.0,False
2026-07-12,google,купить люстру в москве интернет магазин,4.0,False
2026-07-12,google,купить люстру в москве недорого,6.0,False
2026-07-12,google,купить люстру в прихожую,16.0,False
2026-07-12,google,купить люстру в спальню,17.0,False
2026-07-12,yandex,купить люстру в спальню,10.0,False
