check_date,engine,domain,hide_brand,total_queries,total_weighted_freq,visibility_weighted,visibility_unweighted,top3,top10,top11_50,top1_50,not_found,avg_position,median_position,unique_urls
2026-07-12,yandex,eurosvet.ru,False,1644,1981927.0,0.94,0.42,2,5,61,66,1578,33.4,35.0,15
2026-07-12,yandex,fedomo.ru,False,1644,1981927.0,25.73,21.52,74,550,490,1040,604,12.8,10.0,379
2026-07-12,yandex,lampadia.ru,False,1644,1981927.0,28.19,23.75,165,617,264,881,763,9.9,7.0,272
2026-07-12,yandex,lampsshop.ru,False,1644,1981927.0,0.85,1.27,4,16,119,135,1509,24.2,25.0,49
2026-07-12,yandex,lu.ru,False,1644,1981927.0,39.94,45.95,612,1004,122,1126,518,5.4,3.0,446
2026-07-12,yandex,lustranadom.ru,False,1644,1981927.0,21.27,11.29,58,279,251,530,1114,13.1,10.0,139
2026-07-12,yandex,lustrypremium.ru,False,1644,1981927.0,0.43,1.38,6,19,100,119,1525,21.1,20.0,47
2026-07-12,yandex,market-sveta.ru,False,1644,1981927.0,16.3,13.34,59,271,593,864,780,17.5,16.0,300
2026-07-12,yandex,maytoni.ru,False,1644,1981927.0,1.87,1.33,14,24,71,95,1549,26.0,29.0,42
2026-07-12,yandex,megalamps.ru,False,1644,1981927.0,26.71,25.8,232,643,165,808,836,7.7,5.0,276
2026-07-12,yandex,msveta.ru,False,1644,1981927.0,10.48,7.18,32,149,320,469,1175,18.0,16.0,188
2026-07-12,yandex,svetilnik-online.ru,False,1644,1981927.0,19.3,14.42,75,324,438,762,882,14.8,13.0,225
2026-07-12,yandex,svetlux.ru,False,1644,1981927.0,20.18,29.67,277,721,275,996,648,9.3,6.0,319
2026-07-12,yandex,svetodom.ru,False,1644,1981927.0,14.4,19.66,131,473,413,886,758,13.0,10.0,259
2026-07-12,yandex,topsvet.ru,False,1644,1981927.0,32.66,20.03,216,446,198,644,1000,9.5,6.0,150
2026-07-12,yandex,vamsvet.ru,False,1644,1981927.0,26.75,24.0,104,594,549,1143,501,12.8,10.0,423
2026-08-02,google,market-sveta.ru,True,1278,87721.0,30.87,26.35,100,510,269,779,499,11.1,8.0,213
2026-08-02,google,donplafon.ru,True,1278,87721.0,27.66,26.83,187,409,390,799,479,11.5,10.0,375
2026-08-02,google,vamsvet.ru,True,1278,87721.0,25.12,24.82,76,467,345,812,466,11.7,9.0,352
2026-08-02,google,citilux.ru,True,1278,87721.0,23.81,20.54,204,322,90,412,866,7.7,4.0,157
2026-08-02,google,eurosvet.ru,True,1278,87721.0,18.63,9.94,97,152,80,232,1046,11.6,5.0,34
2026-08-02,google,lampsshop.ru,True,1278,87721.0,15.78,13.67,136,181,240,421,857,15.6,14.0,88
2026-08-02,google,msveta.ru,True,1278,87721.0,15.31,9.54,17,119,399,518,760,18.4,17.0,155
2026-08-02,google,maytoni.ru,True,1278,87721.0,13.3,8.2,68,126,79,205,1073,10.9,6.0,91
2026-08-02,google,lu.ru,True,1278,87721.0,12.9,18.27,98,216,580,796,482,16.2,16.0,353
2026-08-02,google,lampadia.ru,True,1278,87721.0,12.82,7.47,25,115,202,317,961,16.5,15.0,128
2026-08-02,google,lustrypremium.ru,True,1278,87721.0,11.59,9.77,88,127,213,340,938,16.6,16.0,89
2026-08-02,google,svetlux.ru,True,1278,87721.0,11.22,21.72,141,374,263,637,641,11.8,9.0,187
